Data,Open,High,Low,Close,Volume
8/16/2021,2289.95,2297.14,2280.31,2282.1,10658701
8/17/2021,2282.7,2300.04,2279.19,2300.04,15600846
8/18/2021,2300.19,2301.58,2275.03,2284.97,13451422
8/19/2021,2270.18,2270.95,2240.78,2260.02,19682281
8/20/2021,2263.51,2263.51,2247.35,2255.56,14205373
8/23/2021,2264.45,2290.92,2264.45,2287.52,21319939
8/24/2021,2293.79,2300.9,2282.35,2300.9,15731511
8/25/2021,2297.64,2325.19,2291.03,2325.19,13890857
8/26/2021,2321.75,2326.62,2307.66,2309.44,10053150
8/27/2021,2310.63,2323.77,2295.89,2323.77,11842111
8/30/2021,2324.67,2350.93,2324.67,2350.23,13726563
8/31/2021,2347.73,2379.63,2347.73,2368.03,30995839
9/1/2021,2367.66,2387.46,2367.66,2371.16,17987921
9/2/2021,2375.04,2391.94,2363.26,2391.94,18960025
9/3/2021,2392.26,2393.71,2370.71,2380.82,14360842
9/6/2021,2379.29,2416.38,2379.29,2416.38,13169381
9/7/2021,2409.03,2409.1,2388.22,2394.79,14663792
9/8/2021,2390.92,2390.92,2361.41,2364.63,20545556
9/9/2021,2356.6,2361.31,2341.53,2356.39,14503413
9/10/2021,2357.98,2377.01,2357.98,2360.7,16228628
9/13/2021,2365.69,2387.74,2362.83,2387.74,19139286
9/14/2021,2367.42,2381.69,2356.63,2376.01,24377771
9/15/2021,2365.73,2368.41,2348.33,2355.23,27747030
9/16/2021,2351.2,2367.65,2347.03,2357.28,24989579
9/17/2021,2356.48,2359.97,2326.12,2333.01,41813166
9/20/2021,2316.96,2316.96,2259.28,2272.52,29449472
9/21/2021,2271.99,2302.02,2271.94,2278.11,19638093
9/22/2021,2295.39,2335.18,2295.39,2334.1,16127336
9/23/2021,2345.99,2353.45,2315.2,2320.51,20174682
9/24/2021,2323.41,2326.78,2295.88,2299.18,19267646
9/27/2021,2308.17,2314.8,2285.15,2292.47,19100996
9/28/2021,2289.15,2298.68,2270.88,2275.68,18883243
9/29/2021,2277.48,2299.84,2271.6,2290.97,14394570
9/30/2021,2299.33,2314.35,2294.48,2310.29,31180804
10/1/2021,2299.01,2332.78,2284.34,2327.88,20388107
10/4/2021,2325.08,2360.69,2306.16,2338.09,25600481
10/5/2021,2338.92,2365.14,2320.67,2364.72,19716260
10/6/2021,2365.2,2365.2,2329.59,2349.46,27548041
10/7/2021,2353.18,2365.41,2334.37,2359.54,23404742
10/8/2021,2360.56,2415.15,2360.56,2411.12,30327382
10/11/2021,2413.12,2457.36,2409.01,2457.36,24018999
10/12/2021,2449.09,2478.55,2429.66,2472.33,41697156
10/13/2021,2471.12,2473.93,2439.48,2451.89,36421921
10/14/2021,2455.6,2473.32,2447.11,2459.5,35861076
10/15/2021,2459.71,2461.17,2438.38,2453.98,29698253
10/18/2021,2458.45,2474.44,2452.44,2459.81,17268301
10/19/2021,2461.73,2472.34,2438.14,2447.54,21855682
10/20/2021,2447.07,2453.57,2432.33,2443.11,22261931
10/21/2021,2433.75,2433.75,2418.23,2427.35,18086091
10/22/2021,2425.02,2436.87,2412.57,2417.09,16121524
10/25/2021,2415.52,2430.62,2415.52,2427.19,16544470
10/26/2021,2429.41,2442.53,2417.03,2425.29,19904199
10/27/2021,2423.22,2423.22,2389.35,2404.82,22421853
10/28/2021,2405.47,2411.6,2391.93,2392.67,23662933
10/29/2021,2390.05,2421.65,2377.84,2405.05,28465126
11/2/2021,2411.73,2421.09,2388.14,2407.53,30287273
11/3/2021,2411.54,2428.52,2370.99,2380.11,23049938
11/4/2021,2386.85,2441.93,2386.85,2438.8,28526219
11/5/2021,2439.09,2443.77,2419.57,2439.16,23566941
11/8/2021,2444.16,2449.64,2417.29,2423.92,19323862
11/9/2021,2420.42,2423.89,2393.2,2395.05,24497918
11/10/2021,2393.48,2407.83,2355.75,2366.59,25126969
11/12/2021,2372.28,2390.77,2358.23,2358.23,28816948
11/15/2021,2358.49,2384.74,2335.04,2335.04,27794225
11/16/2021,2336.33,2350.13,2333.66,2340.03,22247198
11/17/2021,2346.41,2354.67,2312.13,2317.49,22134015
11/18/2021,2316.9,2316.9,2258.9,2271.31,28223399
11/19/2021,2271.91,2286.37,2221.68,2248.18,34661095
11/22/2021,2251.08,2262.74,2237.64,2247.82,25598302
11/23/2021,2245.04,2268.99,2223.71,2261.15,24009689
